"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
1,"AN15HH0001","DHANIKHARI","Andaman and Nicobar Islands Water Resources Department","11° 34 ' 19""","92° 40 ' 35""",1973,"Drainage area of Andaman and Nicobar Islands","Dhanikhari","Port Blair","V","Other",37.25,132,NA,5193.8,611.524,4369.8,"S",225
2,"AN15HH0002","KALPONG","Andaman and Nicobar Islands Water Resources Department","13° 9 ' 35""","92° 58 ' 10""",2001,"Drainage area of Andaman and Nicobar Islands","Kalpong","Diglipur","V","Other",31.5,139,NA,15270000,1840000,14241000,"H",405
1,"AP01MH0001","Cumbhum","Andhra Pradesh Water Resources Department","15° 34 ' 38""","79° 4 ' 51""",1500,"East flowing rivers between Krishna and Pennar","Gundlakama","Giddalur","II","Earthfill_Embankment",15.38,295.65,NA,105350000,23950000,95650000,"I",113
2,"AP01LH0002","Dondapadu tank","Andhra Pradesh Water Resources Department","16° 32 ' 36""","80° 27 ' 9""",1910,"East flowing rivers between Krishna and Pennar","krishna","Vinukonda","II","Earthfill_Embankment",10.3,720,0,7263000,2640000,6537000,"I",210
3,"AP01MH0003","Siddapuram Tank","Andhra Pradesh Water Resources Department","15° 51 ' 37""","78° 41 ' 28""",1919,"Krishna","Bhavana","Kurnool","II","Earthfill_Embankment",19,4904,0,24740000,NA,24740000,"I",492
4,"AP01MH0004","Mopad Reservoir","Andhra Pradesh Water Resources Department","15° 6 ' 25""","79° 28 ' 51""",1921,"East flowing rivers between Krishna and Pennar","Manneru","Kanigiri","II","Earthfill_Embankment",28,2630,401000,6.1e+07,13073000,59216000,"I",1923
5,"AP01LH0005","Thippayapalem Tank","Andhra Pradesh Water Resources Department","15° 41 ' 26""","79° 9 ' 59""",1938,"East flowing rivers between Krishna and Pennar","Gundlakama","Marakapur","II","Other",10,NA,NA,5125000,NA,5125000,"I",NA
6,"AP01LH0006","Markapur Tank","Andhra Pradesh Water Resources Department","15° 43 ' 54""","79° 16 ' 40""",1945,"East flowing rivers between Krishna and Pennar","Mondivagu","Ongole","II","Earthfill_Embankment",10,1569,0,6173000,NA,5103000,"I",75
7,"AP01LH0007","Owk Reservoir complex (Palair, Gollaleru,Timmaraju)","Andhra Pradesh Water Resources Department","15° 11 ' 3""","78° 5 ' 49""",1946,"Pennar","Paleru","Banaganpalli","II","Earthfill_Embankment",10.15,622,NA,3514286,808270000,2460000,"I",128
8,"AP01LH0008","Gambhiramgedda Reservoir","Andhra Pradesh Water Resources Department","17° 52 ' 29""","83° 21 ' 6""",1957,"East Flowing Rivers between Mahanadi and Godavari","Gambhiramgedda","Bheemunipatnam","II","Earthfill_Embankment",13,369,173000,3180000,799000,3158000,"I",550
9,"AP01MH0009","Prakasam Barrage","Andhra Pradesh Water Resources Department","16° 30 ' 38""","80° 36 ' 16""",1957,"Krishna","Krishna","Vijayawada","II","Other",22.25,1233,0,86961036,3e+07,86961036,"I",33697
10,"AP01MH0010","Nakkalagandi","Andhra Pradesh Water Resources Department","15° 3 ' 28""","79° 22 ' 29""",1958,"East flowing rivers between Krishna and Pennar","Uppuvagu","Udayagiri","II","Earthfill_Embankment",15,354,875000,4729000,NA,NA,"I",340
11,"AP01MH0011","Upper Pennar","Andhra Pradesh Water Resources Department","14° 21 ' 4""","77° 21 ' 8""",1959,"Pennar","Pennar","Dharmavaram","II","Earthfill_Embankment",16.74,3505,594000,51282000,7917000,44570716,"I",339.5
12,"AP01MH0012","Lower Sagileru Project","Andhra Pradesh Water Resources Department","14° 57 ' 13""","78° 56 ' 54""",1959,"Pennar","Sagileru","Badvel","II","Other",22.91,1905,0,7300000,2850,NA,"I",1586
13,"AP01LH0013","Rallapadu Project","Andhra Pradesh Water Resources Department","15° 3 ' 14""","79° 43 ' 6""",1958,"East flowing rivers between Krishna and Pennar","Manneru","Rallapadu","III","Earthfill_Embankment",13.85,2951,NA,31318000,7067000,30830000,"I",3426
14,"AP01MH0015","Kalangi Reservoir","Andhra Pradesh Water Resources Department","13° 36 ' 28""","79° 47 ' 42""",1960,"East flowing rivers between Pennar and Cauvery Basin","Kalangi","Srikalahasti","III","Earthfill_Embankment",18,3977,0,6971000,2649000,6830000,"I",1389
15,"AP01MH0016","Pincha Project","Andhra Pradesh Water Resources Department","13° 54 ' 32""","78° 59 ' 59""",1960,"Pennar","Pincha","Rayachoti","II","Other",21,486,150000,9284000,2048000,9131000,"I",1644
16,"AP01MH0017","Siddlagandi Project, Kotakadapalle (V)","Andhra Pradesh Water Resources Department","13° 49 ' 54""","79° 8 ' 24""",1959,"Pennar","Talakona","Vayalpad","III","Earthfill_Embankment",12,1795,NA,2031000,247000,1e+06,"I",66.6
17,"AP01MH0018","Bhairavanitippa","Andhra Pradesh Water Resources Department","14° 32 ' 20""","76° 50 ' 16""",1961,"Krishna","pedda hagari","Rayadurg","II","Earthfill_Embankment",20,2235,0,59239000,15480000,57930000,"I/S",3635
18,"AP01HH0019","Buggavagu","Andhra Pradesh Water Resources Department","16° 28 ' 48""","79° 31 ' 41""",1961,"Krishna","Buggavagu","Guruzala","II","Earthfill_Embankment",31,2576,1983000,98060000,12427000,49980000,"I",567
